id,title,neighborhood,address,price,bed,bath,sqft,y_built,ren_y,ch_s,fire,listing_status,created_at
101,Consider Apartment,shire,580 Bates Viaduct Suite 511,461184.18,1,1.0,2041,1956,2025,3,f,active,2026-07-24 23:32:54.429628
102,Herself Apartment,side,7127 Hayley Underpass,182551.47,3,1.0,3393,1983,2021,4,f,sold,2026-07-24 23:32:54.429628
103,Official Apartment,berg,93024 Cynthia Common Apt. 168,209943.50,4,4.0,3035,2010,2023,7,f,pending,2026-07-24 23:32:54.429628
104,Happen Apartment,mouth,9277 Anthony Alley Suite 179,300999.33,2,1.0,2335,1983,,5,t,active,2026-07-24 23:32:54.429628
105,Wonder Apartment,berg,2990 Chris Brooks Apt. 063,427823.36,4,1.0,2545,1964,2024,6,t,active,2026-07-24 23:32:54.429628
106,Past Apartment,mouth,69777 Lori Hills Suite 635,799846.75,3,4.0,1246,1957,2021,6,t,active,2026-07-24 23:32:54.429628
107,Of Apartment,furt,231 Matthew Parkways Suite 878,360728.43,2,1.0,2692,1961,2023,9,f,sold,2026-07-24 23:32:54.429628
108,Trouble Apartment,furt,7171 Evan Rest,361837.50,2,3.0,956,1981,,5,t,pending,2026-07-24 23:32:54.429628
109,Surface Apartment,land,42797 Paula Shoal Suite 954,601897.78,5,5.0,1467,1986,,1,f,pending,2026-07-24 23:32:54.429628
110,Central Apartment,port,0291 Cantu Views Suite 497,296883.85,1,1.0,1768,1964,,10,f,active,2026-07-24 23:32:54.429628
111,Executive Apartment,berg,7004 Linda Isle,538282.65,2,3.0,2477,2008,,8,f,active,2026-07-24 23:32:54.429628
112,Authority Apartment,fort,8420 Jacqueline Garden Apt. 069,191717.50,3,3.0,552,1990,,3,t,active,2026-07-24 23:32:54.429628
113,Conference Apartment,view,491 Rachel Falls Apt. 197,203985.36,4,5.0,1863,1978,2014,1,t,pending,2026-07-24 23:32:54.429628
114,Population Apartment,stad,0836 Raymond Parks,252223.00,2,3.0,3128,2012,2014,10,t,sold,2026-07-24 23:32:54.429628
115,Past Apartment,fort,113 Hodge Flat,510269.90,3,4.0,2681,1989,,1,t,sold,2026-07-24 23:32:54.429628
116,Out Apartment,borough,1091 Coleman Mountains,417365.40,1,2.0,1802,1988,,3,t,sold,2026-07-24 23:32:54.429628
117,Science Apartment,port,197 Susan Canyon Suite 143,449484.17,2,3.0,1035,1963,,9,f,active,2026-07-24 23:32:54.429628
118,Leg Apartment,burgh,68617 Banks Coves Apt. 231,518657.24,3,3.0,2815,1961,2017,7,f,active,2026-07-24 23:32:54.429628
119,Dream Apartment,view,9210 Richard Green Apt. 265,247029.54,3,5.0,1257,1997,2023,1,f,pending,2026-07-24 23:32:54.429628
120,Whom Apartment,stad,852 Johnson Inlet Suite 227,545896.53,1,4.0,1317,2011,,10,f,pending,2026-07-24 23:32:54.429628
121,Light Apartment,mouth,976 Michael Ramp,760193.56,2,3.0,2265,1968,2023,10,f,active,2026-07-24 23:32:54.429628
122,Help Apartment,fort,5113 Stewart Islands,840394.75,5,3.0,3142,1968,2014,1,t,sold,2026-07-24 23:32:54.429628
123,Here Apartment,port,055 Olivia Union Apt. 567,341259.95,3,2.0,2221,1963,2025,1,f,active,2026-07-24 23:32:54.429628
124,Young Apartment,mouth,77575 Steven Lodge Apt. 222,165593.39,5,1.0,3390,2007,,2,t,sold,2026-07-24 23:32:54.429628
125,Discussion Apartment,ton,84045 Hull Field,563036.60,4,5.0,3125,1998,2019,5,t,pending,2026-07-24 23:32:54.429628
126,Bad Apartment,ton,9451 Francisco Springs,340050.94,2,5.0,2330,1976,,2,f,sold,2026-07-24 23:32:54.429628
127,Treatment Apartment,haven,66986 Shane Ports,250499.79,1,4.0,842,1991,2013,1,t,pending,2026-07-24 23:32:54.429628
128,Person Apartment,view,148 Cross Isle,691272.48,4,5.0,2267,1994,,5,f,sold,2026-07-24 23:32:54.429628
129,Partner Apartment,mouth,28602 Flynn Via Suite 793,638497.18,1,1.0,2729,1995,,7,t,active,2026-07-24 23:32:54.429628
130,Owner Apartment,haven,787 Bobby Lane Apt. 430,468080.08,5,5.0,1707,1976,2017,1,t,sold,2026-07-24 23:32:54.429628
131,Ball Apartment,mouth,48575 Washington Isle Suite 962,307198.65,3,2.0,2894,1977,,10,t,active,2026-07-24 23:32:54.429628
132,Economy Apartment,stad,98663 Timothy Mission,802464.98,5,3.0,2582,1990,2021,8,t,sold,2026-07-24 23:32:54.429628
133,Price Apartment,port,18240 Michael Garden Suite 740,739355.74,3,4.0,2205,1952,2021,2,t,pending,2026-07-24 23:32:54.429628
134,Politics Apartment,land,154 Aguilar Neck,255294.94,1,5.0,2831,1995,2022,1,f,pending,2026-07-24 23:32:54.429628
135,Together Apartment,burgh,1888 Michael Ports,170212.40,3,4.0,2247,1999,,8,t,pending,2026-07-24 23:32:54.429628
136,Nor Apartment,shire,849 Laura Tunnel Suite 065,588953.10,4,1.0,3386,1966,2018,6,t,sold,2026-07-24 23:32:54.429628
137,Generation Apartment,port,2507 Pope Forge,159976.60,1,1.0,3366,2002,,5,t,pending,2026-07-24 23:32:54.429628
138,Rock Apartment,ton,55185 Joseph Path Apt. 841,568510.25,3,5.0,1821,1995,,8,f,active,2026-07-24 23:32:54.429628
139,Report Apartment,mouth,0247 Whitney Park,628312.23,5,4.0,2204,1972,2021,6,t,sold,2026-07-24 23:32:54.429628
140,Yet Apartment,town,20643 Susan Stream,619119.72,3,5.0,2724,1963,,8,t,sold,2026-07-24 23:32:54.429628
141,Break Apartment,ton,855 Cruz Run,417455.48,5,3.0,2538,2006,,1,f,pending,2026-07-24 23:32:54.429628
142,Run Apartment,bury,58330 King Bypass Suite 400,595606.70,2,2.0,745,1965,2019,7,f,sold,2026-07-24 23:32:54.429628
143,Culture Apartment,stad,9649 Gray Land,240575.45,1,3.0,2034,1994,2017,4,f,pending,2026-07-24 23:32:54.429628
144,Talk Apartment,stad,18426 Cervantes Shore Suite 590,590767.79,2,2.0,1661,1980,2024,1,t,active,2026-07-24 23:32:54.429628
145,Walk Apartment,haven,609 Padilla Wells,782462.38,1,4.0,1686,1974,2014,8,f,sold,2026-07-24 23:32:54.429628
146,Despite Apartment,view,470 Ryan Place Suite 033,244604.21,2,4.0,3301,2012,,5,f,sold,2026-07-24 23:32:54.429628
147,Art Apartment,fort,9765 Jones Ranch Suite 686,452867.59,3,5.0,2215,1989,2017,3,t,sold,2026-07-24 23:32:54.429628
148,Something Apartment,view,53840 Jamie Mountain Apt. 316,158415.51,5,3.0,3153,1972,,3,t,sold,2026-07-24 23:32:54.429628
149,Garden Apartment,ton,83500 Osborn Rapid,802044.68,1,5.0,2913,2009,2022,2,t,sold,2026-07-24 23:32:54.429628
150,Himself Apartment,fort,80399 Walker Mountain Apt. 900,634924.32,2,3.0,2954,2011,,7,t,active,2026-07-24 23:32:54.429628
